,Terminal(reserved_type_string),Terminal(reserved_type_char),Terminal(initial_block),Terminal(final_block),Terminal(op_logic_greater),Terminal(reserved_type_number),Terminal(end_of_line),Terminal(initial_parenthesis),Terminal(final_parenthesis),Terminal(id),Terminal(op_arit_sum),Terminal(op_attr),Terminal(op_arit_sub),Terminal(reserved_directive_if),Terminal(reserved_directive_else),Terminal(reserved_directive_loop),Terminal(op_logic_smaller),Terminal(reserved_func_read),Terminal(reserved_func_write),Terminal(reserved_func_input),Terminal(reserved_func_print),Terminal(comma),Terminal(reserved_directive_return),Terminal(op_arit_mult),Terminal(op_arit_div),Terminal(op_logic_equal),Terminal(number),Terminal(string),Terminal(char),Terminal(reserved_type_void),Terminal(op_logic_greater_equal),Terminal(op_logic_smaller_equal),Terminal($),Terminal(ε)
NonTerminal(<LOOP>),,,,,,,,,,,,,,,,reserved_directive_loop initial_parenthesis <LOOP'>,,,,,,,,,,,,,,,,,,
NonTerminal(<CALLER>),,,,,,,,,,,,,,,,,,reserved_func_read,reserved_func_write,reserved_func_input,reserved_func_print,,,,,,,,,,,,,
NonTerminal(<CONDITION_SEQUENCE>),,,,,,,,,,,,,,reserved_directive_if initial_parenthesis <EXPRESSION> final_parenthesis <BLOCK> <ALTERNATIVE_CONDITIONS>,,,,,,,,,,,,,,,,,,,,
NonTerminal(<DECLARED_LOOP>),<DECLARATION> comma <EXPRESSION> comma <ATTRIBUTION> final_parenthesis <BLOCK>,<DECLARATION> comma <EXPRESSION> comma <ATTRIBUTION> final_parenthesis <BLOCK>,,,,<DECLARATION> comma <EXPRESSION> comma <ATTRIBUTION> final_parenthesis <BLOCK>,,,,,,,,,,,,,,,,,,,,,,,,<DECLARATION> comma <EXPRESSION> comma <ATTRIBUTION> final_parenthesis <BLOCK>,,,,
NonTerminal(<ALTERNATIVE_CONDITIONS>),ε,ε,ε,ε,,ε,,,,ε,,,,ε,reserved_directive_else <ALTERNATIVE_CONDITIONS'>,ε,,ε,ε,ε,ε,,ε,,,,ε,ε,ε,ε,,,ε,ε
NonTerminal(<ARGUMENTS>),,,,,,,,<EXPRESSION> <ARGUMENTS>,ε,<EXPRESSION> <ARGUMENTS>,,,,,,,,<EXPRESSION> <ARGUMENTS>,<EXPRESSION> <ARGUMENTS>,<EXPRESSION> <ARGUMENTS>,<EXPRESSION> <ARGUMENTS>,,,,,,<EXPRESSION> <ARGUMENTS>,<EXPRESSION> <ARGUMENTS>,<EXPRESSION> <ARGUMENTS>,,,,,ε
NonTerminal(<ID>),,,,,,,,,,id <ID'>,,,,,,,,,,,,,,,,,,,,,,,,
NonTerminal(<OP>),,,,,op_logic_greater,,,,,,op_arit_sum,,op_arit_sub,,,,op_logic_smaller,,,,,,,,,op_logic_equal,,,,,op_logic_greater_equal,op_logic_smaller_equal,,
NonTerminal(<ALL_OPERATIONS>),,,,,,,,,,id <ALL_OPERATIONS'>,,,,,,,,<TERM> <OPERATION> end_of_line,<TERM> <OPERATION> end_of_line,<TERM> <OPERATION> end_of_line,<TERM> <OPERATION> end_of_line,,,,,,<TERM> <OPERATION> end_of_line,<TERM> <OPERATION> end_of_line,<TERM> <OPERATION> end_of_line,,,,,
NonTerminal(<OPERATION>),,,,,<OP> <EXPRESSION>,,ε,ε,ε,ε,<OP> <EXPRESSION>,,<OP> <EXPRESSION>,,,,<OP> <EXPRESSION>,ε,ε,ε,ε,ε,,,,<OP> <EXPRESSION>,ε,ε,ε,,<OP> <EXPRESSION>,<OP> <EXPRESSION>,,ε
NonTerminal(<OP'>),,,,,,,,,,,,,,,,,,,,,,,,op_arit_mult,op_arit_div,,,,,,,,,
NonTerminal(<ALL_OPERATIONS'>),ε,ε,ε,ε,<ID'> <OP> <EXPRESSION> end_of_line,ε,,<ID'> <OP> <EXPRESSION> end_of_line,,ε,<ID'> <OP> <EXPRESSION> end_of_line,op_attr <EXPRESSION> end_of_line,<ID'> <OP> <EXPRESSION> end_of_line,ε,,ε,<ID'> <OP> <EXPRESSION> end_of_line,ε,ε,ε,ε,,ε,,,<ID'> <OP> <EXPRESSION> end_of_line,ε,ε,ε,ε,<ID'> <OP> <EXPRESSION> end_of_line,<ID'> <OP> <EXPRESSION> end_of_line,ε,
NonTerminal(<CALL>),,,,,,,,initial_parenthesis <ARGUMENTS> final_parenthesis,,,,,,,,,,,,,,,,,,,,,,,,,,
NonTerminal(<ID'>),,,,,ε,,ε,<CALL>,ε,ε,ε,,ε,,,,ε,ε,ε,ε,ε,ε,,,,ε,ε,ε,ε,,ε,ε,,ε
NonTerminal(<TERM>),,,,,,,,,,,,,,,,,,<FUNCTION_CALL>,<FUNCTION_CALL>,<FUNCTION_CALL>,<FUNCTION_CALL>,,,,,,number,string,char,,,,,
NonTerminal(<FUNCTION_DECLARATION>),,,,,,,,initial_parenthesis <PARAMETERS> final_parenthesis <BLOCK>,,,,,,,,,,,,,,,,,,,,,,,,,,
NonTerminal(<ATTRIBUTION_DECLARATION>),,,,,,,end_of_line,<FUNCTION_DECLARATION>,,,,op_attr <EXPRESSION> end_of_line,,,,,,,,,,,,,,,,,,,,,,
NonTerminal(<FUNCTION_CALL'>),,,,,ε,,ε,<CALL>,ε,ε,ε,,ε,,,,ε,ε,ε,ε,ε,ε,,,,ε,ε,ε,ε,,ε,ε,,ε
NonTerminal(<SENTENCE_BODY>),<DECLARATION>,<DECLARATION>,<BLOCK>,,,<DECLARATION>,,,,<ALL_OPERATIONS>,,,,<CONDITION_SEQUENCE>,,<LOOP>,,<ALL_OPERATIONS>,<ALL_OPERATIONS>,<ALL_OPERATIONS>,<ALL_OPERATIONS>,,reserved_directive_return <EXPRESSION> end_of_line,,,,<ALL_OPERATIONS>,<ALL_OPERATIONS>,<ALL_OPERATIONS>,<DECLARATION>,,,,
NonTerminal(<ATTRIBUTION>),,,,,,,,,,id op_attr <EXPRESSION>,,,,,,,,,,,,,,,,,,,,,,,,
NonTerminal(<LOOP'>),<DECLARED_LOOP>,<DECLARED_LOOP>,,,,<DECLARED_LOOP>,,<EXPRESSION> final_parenthesis <BLOCK>,,<EXPRESSION> final_parenthesis <BLOCK>,,,,,,,,<EXPRESSION> final_parenthesis <BLOCK>,<EXPRESSION> final_parenthesis <BLOCK>,<EXPRESSION> final_parenthesis <BLOCK>,<EXPRESSION> final_parenthesis <BLOCK>,,,,,,<EXPRESSION> final_parenthesis <BLOCK>,<EXPRESSION> final_parenthesis <BLOCK>,<EXPRESSION> final_parenthesis <BLOCK>,<DECLARED_LOOP>,,,,
NonTerminal(<ALTERNATIVE_CONDITIONS'>),,,<BLOCK>,,,,,,,,,,,reserved_directive_if initial_parenthesis <EXPRESSION> final_parenthesis <BLOCK> <ALTERNATIVE_CONDITIONS>,,,,,,,,,,,,,,,,,,,,
